page_url,file_url
http://thaohoiam.vn/van-de-sinh-tu/,http://thaohoiam.vn/wp-content/uploads/2013/08/VanDeSanhTu01.mp3
http://thaohoiam.vn/van-de-sinh-tu/,http://thaohoiam.vn/wp-content/uploads/2013/08/VanDeSanhTu01.mp3?_=1
http://thaohoiam.vn/van-de-sinh-tu/,http://thaohoiam.vn/wp-content/uploads/2013/08/VanDeSanhTu02.mp3
http://thaohoiam.vn/van-de-sinh-tu/,http://thaohoiam.vn/wp-content/uploads/2013/08/VanDeSanhTu02.mp3?_=2
http://thaohoiam.vn/van-de-sinh-tu/,http://thaohoiam.vn/wp-content/uploads/2013/08/VanDeSanhTu03.mp3
http://thaohoiam.vn/van-de-sinh-tu/,http://thaohoiam.vn/wp-content/uploads/2013/08/VanDeSanhTu03.mp3?_=3
http://thaohoiam.vn/van-de-sinh-tu/,http://thaohoiam.vn/wp-content/uploads/2013/08/VanDeSanhTu04.mp3
http://thaohoiam.vn/van-de-sinh-tu/,http://thaohoiam.vn/wp-content/uploads/2013/08/VanDeSanhTu04.mp3?_=4
http://thaohoiam.vn/van-de-sinh-tu/,http://thaohoiam.vn/wp-content/uploads/2013/08/VanDeSanhTu05.mp3
http://thaohoiam.vn/van-de-sinh-tu/,http://thaohoiam.vn/wp-content/uploads/2013/08/VanDeSanhTu05.mp3?_=5
http://thaohoiam.vn/van-de-sinh-tu/,http://thaohoiam.vn/wp-content/uploads/2013/08/VanDeSanhTu06.mp3
http://thaohoiam.vn/van-de-sinh-tu/,http://thaohoiam.vn/wp-content/uploads/2013/08/VanDeSanhTu06.mp3?_=6
http://thaohoiam.vn/van-de-sinh-tu/,http://thaohoiam.vn/wp-content/uploads/2013/08/VanDeSanhTu07.mp3
http://thaohoiam.vn/van-de-sinh-tu/,http://thaohoiam.vn/wp-content/uploads/2013/08/VanDeSanhTu07.mp3?_=7
